"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,season
"Galvis, Freddy",520471,2017,663,16.7,6.8,0.298,0.286,0.312,32.8,2.4,23.5,95.108863429,91.559622918,17.7,48.9,2017
"Sandoval, Pablo",467055,2017,279,19.0,5.7,0.271,0.287,0.327,28.2,6.7,37.5,99.07681125,93.656333365,23.5,57.7,2017
"Coghlan, Chris",458085,2017,88,25.0,10.2,0.26,0.266,0.287,27.3,0.0,29.1,95.855433077,91.933025385,19.5,47.8,2017
"Hanigan, Ryan",452672,2017,112,23.2,7.1,0.289,0.256,0.303,24.7,1.3,18.2,93.094630263,90.679042632,22.2,44.3,2017
"Mathis, Jeff",425772,2017,203,30.0,6.9,0.262,0.255,0.327,36.5,1.6,23.8,96.07254127,92.0685608,33.0,52.3,2017
"Young, Chris",455759,2017,276,19.9,10.9,0.31,0.304,0.326,33.9,4.2,30.9,97.875227128,92.943788085,20.2,39.3,2017
"Leiter Jr., Mark",643410,2017,26,46.2,0.0,0.07,0.057,0.11,7.1,0.0,14.3,90.124387143,89.928516154,25.4,56.2,2017
"Soler, Jorge",624585,2017,110,32.7,10.9,0.226,0.266,0.338,26.2,6.6,34.4,100.681757097,94.444827377,35.0,40.3,2017
"Teheran, Julio",527054,2017,72,23.6,1.4,0.14,0.153,0.191,18.9,0.0,9.4,90.8914765,89.869806667,24.6,51.1,2017
"Chapman, Matt",656305,2017,326,28.2,9.8,0.332,0.324,0.41,31.5,12.0,39.5,101.3285194,94.8219197,30.2,42.9,2017
"Harper, Bryce",547180,2017,492,20.1,13.8,0.416,0.394,0.463,35.5,11.4,42.6,102.523686835,95.609845253,26.8,49.2,2017
"Gennett, Scooter",571697,2017,497,22.9,6.0,0.367,0.312,0.378,34.7,6.6,35.3,97.849102832,92.982127449,21.6,49.3,2017
"Fowler, Dexter",451594,2017,491,20.6,12.8,0.358,0.358,0.406,40.2,6.5,36.9,98.812064188,93.552703417,22.4,43.2,2017
"Drury, Brandon",592273,2017,480,21.5,5.8,0.325,0.312,0.37,33.7,4.9,38.7,99.034737471,93.593834471,23.6,45.4,2017
"Profar, Jurickson",595777,2017,70,20.0,12.9,0.242,0.293,0.295,34.8,2.2,26.1,95.192141818,91.674021364,21.3,45.5,2017
"Perkins, Cameron",573088,2017,97,23.7,5.2,0.225,0.255,0.296,25.4,1.5,38.8,99.140625152,93.673351692,24.5,45.7,2017
"Zimmerman, Ryan",475582,2017,576,21.9,7.6,0.387,0.378,0.462,32.3,12.2,49.1,103.274381658,96.067274534,24.4,44.3,2017
"Winker, Jesse",608385,2017,137,17.5,10.9,0.384,0.356,0.392,33.7,7.1,32.7,97.63703898,92.95312,17.8,42.7,2017
"Graterol, Juan",492802,2017,87,14.9,1.1,0.196,0.233,0.269,39.7,0.0,15.3,91.91242,90.3470325,22.8,58.5,2017
"Mejia, Alex D.",622270,2017,49,26.5,4.1,0.143,0.219,0.276,20.6,2.9,23.5,94.501125882,91.5084,26.8,49.2,2017
"Engel, Adam",641553,2017,336,34.8,5.7,0.23,0.24,0.327,30.7,3.6,22.4,94.478194719,91.538157175,34.7,48.5,2017
"Cozart, Zack",446359,2017,507,15.4,12.2,0.392,0.33,0.336,35.7,4.4,28.9,96.24154978,92.132340744,16.0,40.9,2017
"Cueto, Johnny",456501,2017,52,28.8,1.9,0.087,0.114,0.158,13.9,0.0,8.3,89.677218462,89.737108077,26.2,58.7,2017
"Sanchez, Adrián",506703,2017,75,33.3,1.3,0.282,0.29,0.436,37.5,4.2,46.8,102.01211,95.303576136,29.5,55.5,2017
"Franco, Maikel",596748,2017,623,15.2,6.6,0.292,0.303,0.33,26.6,6.0,36.2,99.874009298,94.021723996,22.3,50.3,2017
"Caratini, Victor",605170,2017,66,19.7,6.1,0.301,0.315,0.354,28.3,4.3,35.6,98.139131304,93.217105556,20.3,47.1,2017
"Belt, Brandon",474832,2017,451,23.1,14.6,0.352,0.385,0.457,34.8,11.1,40.6,99.844768074,94.076818885,24.6,45.9,2017
"Kendrick III, Howie",435062,2017,334,20.4,6.6,0.361,0.337,0.393,33.9,7.9,34.0,99.052667712,93.530071017,21.8,48.0,2017
"Hardy, J.J.",429666,2017,268,17.9,4.5,0.251,0.268,0.304,34.8,2.9,31.1,96.57881,92.299513922,18.3,39.5,2017
"Brinson, Lewis",621446,2017,55,30.9,12.7,0.225,0.33,0.431,36.7,6.7,43.3,102.300224667,95.59681,37.4,47.4,2017
"Smith, Kevan",607345,2017,293,15.7,3.1,0.3,0.29,0.326,28.9,3.4,28.9,96.652377586,92.344916883,21.0,55.1,2017
"Gallo, Joey",608336,2017,532,36.8,14.1,0.364,0.377,0.567,36.0,22.1,52.2,105.595476587,97.543626429,43.4,47.1,2017
"Bour, Justin",571506,2017,429,22.1,11.0,0.374,0.368,0.444,37.1,10.8,40.4,101.855092028,95.055583404,28.1,44.7,2017
"Lamet, Dinelson",659275,2017,38,57.9,0.0,0.075,0.101,0.324,18.8,0.0,0.0,79.78361,88.444824444,54.1,63.2,2017
"Thames, Eric",519346,2017,551,29.6,13.6,0.369,0.342,0.436,36.3,11.1,39.3,100.054975461,94.204381184,31.5,43.2,2017
"Martin, Leonys",547982,2017,138,23.9,5.8,0.224,0.267,0.322,28.4,4.2,31.6,97.791640667,92.955237416,27.3,51.2,2017
